"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","14,447.54","14,525.22","14,680.57","14,446.66","226.67M","-1.41%"
"Mar 22, 2022","14,654.33","14,396.03","14,688.42","14,386.47","234.32M","1.94%"
"Mar 21, 2022","14,376.09","14,378.65","14,469.90","14,190.63","245.89M","-0.31%"
"Mar 18, 2022","14,420.08","14,065.08","14,427.06","14,014.54","565.82M","2.14%"
"Mar 17, 2022","14,118.60","13,879.08","14,125.67","13,829.13","231.68M","1.16%"
"Mar 16, 2022","13,956.79","13,634.57","13,959.02","13,476.20","332.88M","3.70%"
"Mar 15, 2022","13,458.56","13,177.14","13,487.79","13,093.15","287.42M","3.16%"
"Mar 14, 2022","13,046.64","13,246.63","13,386.67","13,021.22","272.77M","-1.92%"
"Mar 11, 2022","13,301.83","13,702.23","13,714.44","13,285.19","238.05M","-2.13%"
"Mar 10, 2022","13,591.00","13,577.84","13,633.69","13,400.83","232.77M","-1.10%"
"Mar 09, 2022","13,742.20","13,610.48","13,792.97","13,505.12","260.55M","3.58%"
"Mar 08, 2022","13,267.61","13,275.23","13,663.14","13,129.82","308.61M","-0.39%"
"Mar 07, 2022","13,319.38","13,855.48","13,876.28","13,314.68","304.17M","-3.75%"
"Mar 04, 2022","13,837.83","13,957.60","13,992.81","13,738.61","244.43M","-1.41%"
"Mar 03, 2022","14,035.21","14,335.16","14,341.12","13,965.59","230.21M","-1.46%"
"Mar 02, 2022","14,243.69","14,072.79","14,290.67","13,974.40","232.91M","1.70%"
"Mar 01, 2022","14,005.99","14,197.66","14,271.54","13,907.94","262.50M","-1.63%"
"Feb 28, 2022","14,237.81","14,058.61","14,296.60","14,010.01","306.11M","0.34%"
"Feb 25, 2022","14,189.16","13,974.83","14,190.83","13,850.95","241.48M","1.53%"
"Feb 24, 2022","13,974.67","13,069.26","13,989.10","13,069.26","376.04M","3.44%"
"Feb 23, 2022","13,509.43","14,016.94","14,035.19","13,502.58","254.43M","-2.60%"
"Feb 22, 2022","13,870.53","13,892.81","14,109.07","13,721.99","257.94M","-0.99%"
"Feb 18, 2022","14,009.54","14,209.43","14,225.72","13,918.76","265.56M","-1.14%"
"Feb 17, 2022","14,171.74","14,485.08","14,496.26","14,156.54","225.74M","-2.96%"
"Feb 16, 2022","14,603.64","14,516.67","14,644.66","14,399.39","193.07M","-0.12%"
"Feb 15, 2022","14,620.82","14,481.75","14,624.53","14,444.57","221.15M","2.47%"
"Feb 14, 2022","14,268.59","14,233.40","14,400.59","14,119.73","249.07M","0.10%"
"Feb 11, 2022","14,253.84","14,739.46","14,769.03","14,194.59","289.25M","-3.07%"
"Feb 10, 2022","14,705.64","14,770.74","15,037.08","14,636.71","258.81M","-2.33%"
"Feb 09, 2022","15,056.96","14,930.99","15,057.06","14,871.15","219.85M","2.10%"
"Feb 08, 2022","14,747.03","14,532.16","14,784.74","14,485.86","211.37M","1.21%"
"Feb 07, 2022","14,571.25","14,715.39","14,812.72","14,526.15","202.93M","-0.84%"
"Feb 04, 2022","14,694.35","14,567.53","14,832.05","14,456.22","238.13M","1.33%"
"Feb 03, 2022","14,501.11","14,692.94","14,855.45","14,474.16","307.81M","-4.22%"
"Feb 02, 2022","15,139.74","15,171.26","15,195.52","14,960.97","289.25M","0.80%"
"Feb 01, 2022","15,019.68","14,961.92","15,034.42","14,749.51","227.56M","0.60%"
"Jan 31, 2022","14,930.05","14,504.41","14,932.33","14,443.74","310.70M","3.29%"
"Jan 28, 2022","14,454.61","14,091.94","14,454.76","13,880.84","291.63M","3.22%"
"Jan 27, 2022","14,003.11","14,345.53","14,419.45","13,973.04","288.27M","-1.20%"
"Jan 26, 2022","14,172.76","14,491.41","14,645.67","14,006.40","308.35M","0.17%"
"Jan 25, 2022","14,149.12","14,233.24","14,410.13","14,033.98","279.80M","-2.48%"
"Jan 24, 2022","14,509.58","14,168.93","14,531.55","13,724.85","424.87M","0.49%"
"Jan 21, 2022","14,438.40","14,728.32","14,868.04","14,433.19","386.91M","-2.75%"
"Jan 20, 2022","14,846.46","15,178.62","15,347.49","14,833.55","243.10M","-1.34%"
"Jan 19, 2022","15,047.84","15,291.58","15,381.28","15,038.43","227.92M","-1.07%"
"Jan 18, 2022","15,210.76","15,381.70","15,446.13","15,182.96","283.98M","-2.57%"
"Jan 14, 2022","15,611.59","15,397.05","15,617.18","15,397.05","214.63M","0.75%"
"Jan 13, 2022","15,495.62","15,969.14","15,990.38","15,468.57","219.54M","-2.57%"
"Jan 12, 2022","15,905.10","15,953.60","16,016.96","15,816.47","192.03M","0.38%"
"Jan 11, 2022","15,844.12","15,581.70","15,845.97","15,499.24","214.56M","1.47%"
"Jan 10, 2022","15,614.43","15,384.73","15,627.33","15,166.17","280.30M","0.14%"
"Jan 07, 2022","15,592.19","15,772.82","15,834.37","15,528.81","212.41M","-1.10%"
"Jan 06, 2022","15,765.36","15,676.24","15,900.60","15,611.21","229.71M","-0.04%"
"Jan 05, 2022","15,771.78","16,190.38","16,248.09","15,767.13","257.12M","-3.12%"
"Jan 04, 2022","16,279.73","16,513.13","16,513.13","16,153.27","240.88M","-1.35%"
"Jan 03, 2022","16,501.77","16,396.53","16,504.06","16,306.64","199.49M","1.11%"
"Dec 31, 2021","16,320.08","16,410.63","16,464.60","16,317.34","144.57M","-0.66%"
"Dec 30, 2021","16,429.10","16,483.02","16,569.62","16,415.31","125.20M","-0.38%"
"Dec 29, 2021","16,491.01","16,512.31","16,548.84","16,396.65","133.01M","0.01%"
"Dec 28, 2021","16,488.66","16,604.88","16,605.62","16,458.48","136.17M","-0.48%"
"Dec 27, 2021","16,567.50","16,361.72","16,567.50","16,361.72","154.50M","1.59%"
"Dec 23, 2021","16,308.21","16,206.15","16,360.67","16,188.45","164.08M","0.79%"
"Dec 22, 2021","16,180.14","15,961.65","16,185.28","15,947.78","166.08M","1.21%"
"Dec 21, 2021","15,986.28","15,790.55","15,997.46","15,618.23","209.75M","2.29%"
"Dec 20, 2021","15,627.64","15,571.86","15,661.69","15,508.93","211.52M","-1.10%"
"Dec 17, 2021","15,801.46","15,719.83","15,959.94","15,664.78","605.51M","-0.39%"
"Dec 16, 2021","15,863.94","16,335.28","16,338.19","15,802.88","266.77M","-2.61%"
"Dec 15, 2021","16,289.59","15,909.36","16,301.27","15,747.45","248.51M","2.35%"
"Dec 14, 2021","15,914.90","15,879.76","15,993.20","15,742.95","237.98M","-1.04%"
"Dec 13, 2021","16,082.55","16,318.72","16,330.30","16,076.03","224.61M","-1.53%"
"Dec 10, 2021","16,331.98","16,277.47","16,338.32","16,139.10","205.88M","1.13%"
"Dec 09, 2021","16,149.57","16,339.37","16,412.53","16,142.75","189.33M","-1.49%"
"Dec 08, 2021","16,394.34","16,312.97","16,401.05","16,252.67","207.84M","0.42%"
"Dec 07, 2021","16,325.66","16,140.94","16,343.17","16,128.44","261.39M","3.03%"
"Dec 06, 2021","15,846.16","15,746.04","15,898.51","15,560.17","244.35M","0.85%"
"Dec 03, 2021","15,712.04","16,038.25","16,088.18","15,543.49","287.24M","-1.74%"
"Dec 02, 2021","15,990.76","15,793.57","16,065.49","15,771.97","250.23M","0.71%"
"Dec 01, 2021","15,877.72","16,348.29","16,426.52","15,865.09","252.92M","-1.60%"
"Nov 30, 2021","16,135.92","16,334.52","16,454.01","16,073.85","411.89M","-1.61%"
"Nov 29, 2021","16,399.24","16,263.30","16,437.16","16,214.56","222.61M","2.33%"
"Nov 26, 2021","16,025.58","16,237.29","16,301.09","15,990.99","187.46M","-2.09%"
"Nov 24, 2021","16,367.81","16,200.23","16,370.56","16,107.02","172.90M","0.37%"
"Nov 23, 2021","16,306.72","16,330.20","16,416.30","16,121.91","213.20M","-0.45%"
"Nov 22, 2021","16,380.98","16,645.64","16,764.72","16,374.78","239.48M","-1.16%"
"Nov 19, 2021","16,573.34","16,559.89","16,625.86","16,524.27","230.01M","0.55%"
"Nov 18, 2021","16,482.97","16,398.10","16,501.77","16,312.86","224.49M","1.07%"
"Nov 17, 2021","16,308.07","16,328.99","16,385.06","16,277.05","182.38M","-0.01%"
"Nov 16, 2021","16,309.77","16,171.08","16,329.50","16,158.75","181.09M","0.75%"
"Nov 15, 2021","16,189.12","16,227.41","16,256.35","16,096.69","164.81M","-0.07%"
"Nov 12, 2021","16,199.88","16,078.79","16,218.30","16,013.05","154.55M","1.04%"
"Nov 11, 2021","16,032.47","16,114.53","16,115.34","16,019.62","144.25M","0.29%"
"Nov 10, 2021","15,985.57","16,085.32","16,224.20","15,905.28","192.08M","-1.44%"
"Nov 09, 2021","16,219.93","16,390.84","16,401.78","16,168.66","202.33M","-0.71%"
"Nov 08, 2021","16,336.03","16,353.72","16,401.93","16,314.18","192.41M","-0.14%"
"Nov 05, 2021","16,359.38","16,396.69","16,454.41","16,302.06","222.73M","0.08%"
"Nov 04, 2021","16,346.24","16,193.41","16,387.69","16,169.56","223.90M","1.25%"
"Nov 03, 2021","16,144.50","16,001.01","16,157.12","15,950.77","176.67M","1.08%"
"Nov 02, 2021","15,972.49","15,888.78","15,988.25","15,878.15","174.77M","0.42%"
"Nov 01, 2021","15,905.28","15,879.78","15,908.65","15,787.73","177.27M","0.35%"
"Oct 29, 2021","15,850.47","15,639.52","15,856.67","15,639.52","210.47M","0.46%"
"Oct 28, 2021","15,778.16","15,676.08","15,783.33","15,650.61","182.37M","1.15%"
"Oct 27, 2021","15,598.39","15,603.32","15,729.49","15,579.38","196.97M","0.25%"
"Oct 26, 2021","15,559.49","15,615.67","15,710.41","15,518.86","194.42M","0.29%"
"Oct 25, 2021","15,514.19","15,416.27","15,554.71","15,339.83","169.72M","1.04%"
"Oct 22, 2021","15,355.07","15,422.05","15,474.28","15,293.00","173.48M","-0.87%"
"Oct 21, 2021","15,489.59","15,366.04","15,497.58","15,352.39","151.69M","0.66%"
"Oct 20, 2021","15,388.71","15,446.93","15,457.00","15,333.87","138.85M","-0.14%"
"Oct 19, 2021","15,410.72","15,350.38","15,414.97","15,320.86","139.38M","0.72%"
"Oct 18, 2021","15,300.89","15,094.17","15,307.45","15,075.26","157.35M","1.02%"
"Oct 15, 2021","15,146.92","15,106.79","15,149.97","15,064.59","201.55M","0.63%"
"Oct 14, 2021","15,052.42","14,926.46","15,059.70","14,901.59","171.30M","1.88%"
"Oct 13, 2021","14,774.60","14,751.59","14,799.25","14,676.58","162.27M","0.77%"
"Oct 12, 2021","14,662.11","14,772.36","14,784.50","14,636.75","174.44M","-0.35%"
"Oct 11, 2021","14,713.73","14,766.25","14,907.27","14,710.36","131.18M","-0.72%"
"Oct 08, 2021","14,820.75","14,944.24","14,947.09","14,805.66","142.70M","-0.51%"
"Oct 07, 2021","14,897.13","14,899.01","15,010.29","14,878.81","168.51M","0.88%"
"Oct 06, 2021","14,766.75","14,530.96","14,775.64","14,500.25","174.15M","0.63%"
"Oct 05, 2021","14,674.14","14,536.37","14,763.35","14,520.97","177.33M","1.40%"
"Oct 04, 2021","14,472.12","14,715.15","14,727.52","14,384.93","223.15M","-2.16%"
"Oct 01, 2021","14,791.87","14,730.83","14,830.62","14,555.42","192.04M","0.70%"
"Sep 30, 2021","14,689.62","14,830.77","14,887.72","14,684.55","202.90M","-0.43%"
"Sep 29, 2021","14,752.89","14,835.42","14,914.43","14,728.23","181.99M","-0.12%"
"Sep 28, 2021","14,770.30","15,008.90","15,040.57","14,760.43","240.32M","-2.86%"
"Sep 27, 2021","15,204.83","15,205.79","15,240.01","15,106.74","154.37M","-0.81%"
"Sep 24, 2021","15,329.68","15,223.76","15,345.30","15,209.38","129.19M","0.09%"
"Sep 23, 2021","15,316.58","15,229.66","15,356.89","15,199.43","144.46M","0.92%"
"Sep 22, 2021","15,176.51","15,076.03","15,229.72","15,030.42","170.98M","0.99%"
"Sep 21, 2021","15,027.77","15,097.96","15,139.63","14,987.17","152.90M","0.10%"
"Sep 20, 2021","15,012.18","15,072.01","15,157.18","14,821.23","229.61M","-2.10%"
"Sep 17, 2021","15,333.47","15,480.54","15,485.21","15,291.06","453.14M","-1.18%"
"Sep 16, 2021","15,515.91","15,452.67","15,539.14","15,370.88","157.64M","0.08%"
"Sep 15, 2021","15,503.53","15,419.95","15,518.95","15,316.40","193.25M","0.78%"
"Sep 14, 2021","15,382.90","15,505.78","15,525.97","15,352.06","171.39M","-0.33%"
"Sep 13, 2021","15,434.50","15,545.66","15,562.28","15,351.70","174.43M","-0.04%"
"Sep 10, 2021","15,440.75","15,648.05","15,673.50","15,433.43","172.65M","-0.77%"
"Sep 09, 2021","15,561.05","15,638.94","15,675.02","15,556.78","140.26M","-0.38%"
"Sep 08, 2021","15,620.85","15,667.94","15,668.98","15,528.70","151.22M","-0.35%"
"Sep 07, 2021","15,675.76","15,662.08","15,701.40","15,610.24","162.87M","0.15%"
"Sep 03, 2021","15,652.86","15,578.22","15,668.00","15,555.61","128.83M","0.31%"
"Sep 02, 2021","15,604.25","15,657.13","15,680.73","15,554.30","142.17M","-0.05%"
"Sep 01, 2021","15,611.57","15,639.33","15,695.01","15,603.69","156.89M","0.19%"
"Aug 31, 2021","15,582.51","15,602.38","15,603.27","15,524.28","223.71M","-0.14%"
"Aug 30, 2021","15,605.09","15,460.79","15,620.58","15,460.01","143.27M","1.12%"
"Aug 27, 2021","15,432.95","15,302.43","15,446.99","15,294.42","153.22M","1.01%"
"Aug 26, 2021","15,278.52","15,349.11","15,368.68","15,265.23","134.24M","-0.59%"
"Aug 25, 2021","15,368.92","15,386.43","15,404.21","15,341.94","174.21M","0.07%"
"Aug 24, 2021","15,357.68","15,340.72","15,384.42","15,320.07","147.70M","0.29%"
"Aug 23, 2021","15,312.82","15,140.55","15,341.47","15,140.55","164.07M","1.46%"
"Aug 20, 2021","15,092.57","14,974.49","15,103.94","14,970.38","176.26M","1.06%"
"Aug 19, 2021","14,933.93","14,774.08","15,000.19","14,774.08","186.53M","0.51%"
"Aug 18, 2021","14,857.92","14,972.97","15,039.22","14,847.51","151.24M","-0.97%"
"Aug 17, 2021","15,002.83","15,020.06","15,062.49","14,906.22","159.47M","-0.91%"
"Aug 16, 2021","15,140.77","15,090.15","15,141.86","14,931.43","156.83M","0.03%"
"Aug 13, 2021","15,136.68","15,103.09","15,150.42","15,079.41","126.29M","0.32%"
"Aug 12, 2021","15,088.98","15,012.32","15,097.91","14,956.78","150.34M","0.41%"
"Aug 11, 2021","15,027.76","15,102.71","15,127.29","14,973.42","151.96M","-0.17%"
"Aug 10, 2021","15,053.58","15,157.68","15,169.34","15,010.24","150.38M","-0.53%"
"Aug 09, 2021","15,133.11","15,136.63","15,154.47","15,081.94","138.18M","0.16%"
"Aug 06, 2021","15,109.36","15,128.08","15,161.83","15,063.68","153.06M","-0.48%"
"Aug 05, 2021","15,181.64","15,106.88","15,183.90","15,085.42","152.47M","0.65%"
"Aug 04, 2021","15,083.39","15,060.34","15,117.17","15,017.89","192.98M","0.15%"
"Aug 03, 2021","15,061.42","14,998.01","15,062.21","14,864.82","166.56M","0.65%"
"Aug 02, 2021","14,963.62","15,047.36","15,059.89","14,945.19","157.16M","0.02%"
"Jul 30, 2021","14,959.90","14,884.37","14,990.38","14,884.37","188.76M","-0.59%"
"Jul 29, 2021","15,048.36","15,014.54","15,091.96","15,004.42","176.27M","0.20%"
"Jul 28, 2021","15,018.10","15,005.05","15,075.87","14,913.57","199.12M","0.41%"
"Jul 27, 2021","14,956.97","15,101.94","15,104.01","14,788.11","216.34M","-1.12%"
"Jul 26, 2021","15,125.95","15,089.71","15,142.35","15,048.29","167.81M","0.09%"
"Jul 23, 2021","15,111.79","15,004.43","15,125.84","14,948.04","165.31M","1.15%"
"Jul 22, 2021","14,940.17","14,865.47","14,941.38","14,865.47","138.61M","0.66%"
"Jul 21, 2021","14,842.63","14,723.67","14,843.17","14,710.11","156.24M","0.78%"
"Jul 20, 2021","14,728.21","14,601.33","14,790.60","14,530.78","276.12M","1.23%"
"Jul 19, 2021","14,549.09","14,517.96","14,578.96","14,455.07","204.01M","-0.90%"
"Jul 16, 2021","14,681.38","14,842.08","14,875.97","14,667.10","172.33M","-0.77%"
"Jul 15, 2021","14,794.69","14,903.49","14,907.51","14,717.55","163.32M","-0.71%"
"Jul 14, 2021","14,900.44","14,984.86","15,001.13","14,871.73","156.74M","0.17%"
"Jul 13, 2021","14,874.54","14,871.04","15,002.28","14,843.80","134.41M","-0.02%"
"Jul 12, 2021","14,877.89","14,878.71","14,899.46","14,813.79","135.33M","0.35%"
"Jul 09, 2021","14,826.09","14,709.33","14,838.72","14,685.54","158.93M","0.71%"
"Jul 08, 2021","14,722.14","14,577.67","14,763.67","14,551.76","178.03M","-0.60%"
"Jul 07, 2021","14,810.54","14,889.76","14,891.19","14,735.75","151.62M","0.16%"
"Jul 06, 2021","14,786.36","14,755.15","14,797.45","14,635.31","167.10M","0.40%"
"Jul 02, 2021","14,727.63","14,633.51","14,738.14","14,626.82","140.17M","1.15%"
"Jul 01, 2021","14,560.05","14,530.63","14,576.64","14,483.42","151.35M","0.04%"
"Jun 30, 2021","14,554.80","14,560.07","14,582.30","14,530.87","174.74M","-0.12%"
"Jun 29, 2021","14,572.75","14,523.63","14,575.19","14,481.84","139.36M","0.33%"
"Jun 28, 2021","14,524.98","14,401.63","14,530.07","14,400.59","152.05M","1.25%"
"Jun 25, 2021","14,345.18","14,396.63","14,401.71","14,324.26","248.90M","-0.14%"
"Jun 24, 2021","14,365.96","14,358.30","14,429.14","14,337.65","146.08M","0.64%"
"Jun 23, 2021","14,274.24","14,275.09","14,324.74","14,247.58","132.78M","0.03%"
"Jun 22, 2021","14,270.42","14,140.29","14,288.49","14,128.01","149.36M","0.94%"
"Jun 21, 2021","14,137.23","14,055.04","14,150.91","13,967.89","159.46M","0.62%"
"Jun 18, 2021","14,049.58","14,125.12","14,140.62","14,024.61","403.49M","-0.81%"
"Jun 17, 2021","14,163.81","13,946.70","14,205.43","13,946.52","190.93M","1.29%"
"Jun 16, 2021","13,983.01","14,053.12","14,100.11","13,843.60","170.77M","-0.34%"
"Jun 15, 2021","14,030.41","14,120.81","14,126.25","14,008.93","139.28M","-0.69%"
"Jun 14, 2021","14,128.20","14,002.14","14,129.33","13,963.94","152.38M","0.93%"
"Jun 11, 2021","13,998.30","13,959.47","13,998.65","13,934.00","138.26M","0.27%"
"Jun 10, 2021","13,960.35","13,834.26","13,962.99","13,817.83","161.48M","1.05%"
"Jun 09, 2021","13,814.94","13,865.51","13,900.71","13,811.05","142.01M","0.03%"
"Jun 08, 2021","13,810.86","13,873.46","13,913.40","13,746.42","171.52M","0.06%"
"Jun 07, 2021","13,802.89","13,744.15","13,808.42","13,710.11","158.49M","0.23%"
"Jun 04, 2021","13,770.78","13,619.79","13,784.77","13,613.58","148.48M","1.78%"
"Jun 03, 2021","13,529.68","13,568.91","13,608.54","13,469.85","157.94M","-1.07%"
"Jun 02, 2021","13,675.79","13,655.71","13,712.68","13,610.16","151.45M","0.16%"
"Jun 01, 2021","13,654.59","13,764.27","13,773.45","13,602.12","157.44M","-0.23%"
"May 28, 2021","13,686.51","13,717.00","13,765.80","13,684.83","164.33M","0.21%"
"May 27, 2021","13,657.85","13,686.87","13,724.76","13,652.13","307.94M","-0.33%"
"May 26, 2021","13,702.74","13,687.71","13,726.06","13,661.06","153.50M","0.33%"
"May 25, 2021","13,657.73","13,701.30","13,734.41","13,614.54","154.43M","0.12%"
"May 24, 2021","13,641.75","13,504.39","13,687.61","13,500.12","154.55M","1.72%"
"May 21, 2021","13,411.74","13,573.22","13,573.84","13,401.53","173.17M","-0.61%"
"May 20, 2021","13,494.09","13,294.59","13,526.01","13,293.10","185.10M","1.94%"
"May 19, 2021","13,237.91","12,998.53","13,243.97","12,994.35","201.18M","0.15%"
"May 18, 2021","13,217.68","13,352.26","13,400.52","13,212.85","160.78M","-0.72%"
"May 17, 2021","13,312.91","13,329.87","13,350.14","13,196.57","159.04M","-0.60%"
"May 14, 2021","13,393.12","13,238.99","13,430.00","13,220.18","175.04M","2.17%"
"May 13, 2021","13,109.15","13,133.73","13,226.64","13,006.77","195.42M","0.83%"
"May 12, 2021","13,001.63","13,155.07","13,236.89","12,967.18","219.84M","-2.62%"
"May 11, 2021","13,351.27","13,102.64","13,381.66","13,094.76","207.66M","-0.06%"
"May 10, 2021","13,359.08","13,647.73","13,648.49","13,358.62","217.49M","-2.63%"
"May 07, 2021","13,719.63","13,715.56","13,814.66","13,669.78","171.70M","0.78%"
"May 06, 2021","13,613.73","13,490.94","13,617.33","13,403.46","192.04M","0.82%"
"May 05, 2021","13,503.37","13,649.12","13,676.86","13,478.58","180.30M","-0.30%"
"May 04, 2021","13,544.67","13,680.63","13,705.38","13,396.11","221.33M","-1.85%"
"May 03, 2021","13,799.72","13,923.04","13,955.00","13,784.66","166.86M","-0.44%"
"Apr 30, 2021","13,860.76","13,857.79","13,969.21","13,838.82","211.03M","-0.78%"
"Apr 29, 2021","13,970.21","14,063.94","14,073.48","13,836.10","197.09M","0.49%"
"Apr 28, 2021","13,901.62","13,953.61","13,992.08","13,895.15","199.19M","-0.42%"
"Apr 27, 2021","13,960.28","14,048.13","14,048.34","13,931.18","168.17M","-0.47%"
"Apr 26, 2021","14,026.16","13,954.94","14,039.40","13,919.93","161.38M","0.61%"
"Apr 23, 2021","13,941.44","13,794.49","13,989.43","13,789.45","172.09M","1.30%"
"Apr 22, 2021","13,762.36","13,920.88","13,954.03","13,716.76","172.74M","-1.24%"
"Apr 21, 2021","13,935.15","13,768.92","13,939.70","13,717.44","166.85M","0.91%"
"Apr 20, 2021","13,809.30","13,891.96","13,934.89","13,730.59","161.46M","-0.71%"
"Apr 19, 2021","13,907.67","13,970.83","14,025.64","13,835.75","177.42M","-0.96%"
"Apr 16, 2021","14,041.91","14,035.96","14,050.38","13,966.54","194.73M","0.11%"
"Apr 15, 2021","14,026.20","13,934.87","14,040.11","13,931.01","177.92M","1.61%"
"Apr 14, 2021","13,803.91","13,988.87","13,990.54","13,782.17","161.34M","-1.31%"
"Apr 13, 2021","13,986.49","13,874.58","14,002.53","13,874.58","164.97M","1.21%"
"Apr 12, 2021","13,819.35","13,792.74","13,839.39","13,747.63","178.22M","-0.19%"
"Apr 09, 2021","13,845.05","13,709.67","13,849.31","13,674.92","160.65M","0.63%"
"Apr 08, 2021","13,758.50","13,730.73","13,763.18","13,703.51","163.89M","1.04%"
"Apr 07, 2021","13,616.70","13,553.90","13,648.80","13,532.63","144.11M","0.28%"
"Apr 06, 2021","13,578.46","13,567.21","13,660.29","13,551.60","163.84M","-0.14%"
"Apr 05, 2021","13,598.16","13,434.04","13,623.60","13,420.81","178.50M","2.02%"
"Apr 01, 2021","13,329.51","13,268.88","13,333.41","13,255.82","187.35M","1.82%"
"Mar 31, 2021","13,091.44","12,970.33","13,167.06","12,966.65","247.92M","1.51%"
"Mar 30, 2021","12,896.53","12,904.01","12,929.46","12,798.03","172.82M","-0.53%"
"Mar 29, 2021","12,965.74","12,950.51","13,013.47","12,836.60","199.25M","-0.10%"
"Mar 26, 2021","12,979.12","12,777.27","12,992.30","12,721.66","253.00M","1.55%"
"Mar 25, 2021","12,780.51","12,707.58","12,845.66","12,627.92","216.99M","-0.14%"
"Mar 24, 2021","12,798.88","13,072.82","13,077.49","12,797.84","208.06M","-1.68%"
"Mar 23, 2021","13,017.79","13,127.17","13,180.66","12,993.50","203.45M","-0.53%"
"Mar 22, 2021","13,086.51","12,943.14","13,167.46","12,943.14","209.33M","1.71%"
"Mar 19, 2021","12,866.99","12,792.67","12,906.02","12,704.07","575.60M","0.61%"
"Mar 18, 2021","12,789.14","13,006.29","13,040.36","12,781.53","226.02M","-3.13%"
"Mar 17, 2021","13,202.38","13,024.83","13,280.29","12,950.08","220.85M","0.38%"
"Mar 16, 2021","13,152.28","13,156.65","13,297.48","13,091.78","186.93M","0.53%"
"Mar 15, 2021","13,082.54","12,936.13","13,085.01","12,885.64","180.21M","1.12%"
"Mar 12, 2021","12,937.29","12,873.39","12,943.58","12,778.13","184.56M","-0.89%"
"Mar 11, 2021","13,052.90","12,960.54","13,117.87","12,920.00","211.63M","2.36%"
"Mar 10, 2021","12,752.07","12,950.25","12,979.38","12,726.85","214.22M","-0.33%"
"Mar 09, 2021","12,794.49","12,635.45","12,868.52","12,592.83","252.07M","4.03%"
"Mar 08, 2021","12,299.08","12,629.56","12,718.58","12,287.57","273.33M","-2.92%"
"Mar 05, 2021","12,668.51","12,594.16","12,700.96","12,208.39","302.02M","1.64%"
"Mar 04, 2021","12,464.00","12,655.92","12,799.08","12,314.16","307.81M","-1.73%"
"Mar 03, 2021","12,683.33","13,020.10","13,057.29","12,679.89","230.65M","-2.88%"
"Mar 02, 2021","13,059.95","13,297.76","13,301.62","13,052.12","195.31M","-1.68%"
"Mar 01, 2021","13,282.95","13,106.02","13,293.78","13,051.70","207.57M","2.89%"
"Feb 26, 2021","12,909.44","12,958.96","13,090.36","12,764.34","312.55M","0.63%"
"Feb 25, 2021","12,828.31","13,197.75","13,294.56","12,773.76","260.93M","-3.56%"
"Feb 24, 2021","13,302.19","13,095.86","13,312.42","12,971.82","214.77M","0.81%"
"Feb 23, 2021","13,194.71","12,982.36","13,259.85","12,758.12","261.29M","-0.22%"
"Feb 22, 2021","13,223.74","13,414.04","13,447.37","13,220.77","215.66M","-2.63%"
"Feb 19, 2021","13,580.78","13,686.23","13,701.69","13,545.45","193.94M","-0.42%"
"Feb 18, 2021","13,637.51","13,556.01","13,669.94","13,477.17","169.46M","-0.45%"
